idx,block_grams,block_kg,sample_in_block,S1,S2,ORT
156,200,0.2,13,2577,2671,2
157,200,0.2,14,2578,2673,1
158,200,0.2,15,2578,2669,3
159,200,0.2,16,2574,2682,1
160,200,0.2,17,2580,2669,2
161,200,0.2,18,2575,2682,2
162,200,0.2,19,2577,2672,2
163,200,0.2,20,2574,2664,7
164,200,0.2,21,2574,2650,14
165,200,0.2,22,2572,2669,6
166,200,0.2,23,2578,2670,2
167,200,0.2,24,2571,2667,7
168,200,0.2,25,2569,2675,4
169,200,0.2,26,2572,2672,4
170,200,0.2,27,2573,2668,6
171,200,0.2,28,2569,2671,6
172,200,0.2,29,2586,2672,2
173,200,0.2,30,2572,2670,5
174,200,0.2,31,2570,2669,7
175,200,0.2,32,2561,2676,8
176,200,0.2,33,2569,2674,5
177,200,0.2,34,2574,2652,13
178,200,0.2,35,2571,2666,8
179,200,0.2,36,2567,2667,9
180,200,0.2,37,2575,2667,5
181,200,0.2,38,2571,2672,5
182,200,0.2,39,2567,2675,5
183,200,0.2,40,2569,2676,4
184,200,0.2,41,2566,2668,9
185,200,0.2,42,2568,2673,6
186,200,0.2,43,2568,2668,8
187,200,0.2,44,2567,2673,6
188,200,0.2,45,2569,2671,6
189,200,0.2,46,2567,2669,8
190,200,0.2,47,2574,2672,3
191,200,0.2,48,2568,2671,7
192,200,0.2,49,2568,2665,10
193,200,0.2,50,2565,2680,4
194,200,0.2,51,2571,2671,5
195,200,0.2,52,2582,2671,0
196,200,0.2,53,2562,2672,9
197,200,0.2,54,2570,2669,7
198,200,0.2,55,2571,2670,6
199,200,0.2,56,2569,2671,6
200,200,0.2,57,2568,2671,7
201,200,0.2,58,2568,2673,6
202,200,0.2,59,2567,2670,8
203,200,0.2,60,2570,2671,6
204,200,0.2,61,2566,2668,9
205,200,0.2,62,2567,2667,9
206,200,0.2,63,2568,2670,7
207,200,0.2,64,2559,2674,10
208,200,0.2,65,2568,2674,5
209,200,0.2,66,2570,2678,2
210,200,0.2,67,2565,2670,9
211,200,0.2,68,2567,2683,1
212,200,0.2,69,2571,2668,7
213,200,0.2,70,2570,2668,7
214,200,0.2,71,2567,2669,8
215,200,0.2,72,2560,2672,10
216,200,0.2,73,2567,2673,6
217,200,0.2,74,2563,2669,10
218,200,0.2,75,2565,2670,9
219,200,0.2,76,2563,2673,8
220,200,0.2,77,2566,2670,8
221,200,0.2,78,2566,2670,8
222,200,0.2,79,2570,2668,7
223,200,0.2,80,2555,2672,13
224,200,0.2,81,2569,2670,7
225,200,0.2,82,2569,2670,7
226,200,0.2,83,2566,2675,6
227,200,0.2,84,2573,2667,6
228,200,0.2,85,2579,2670,2
229,200,0.2,86,2583,2682,6
230,200,0.2,87,2577,2668,4
231,200,0.2,88,2589,2670,3
232,200,0.2,89,2578,2668,3
233,200,0.2,90,2596,2675,9
234,200,0.2,91,2577,2669,3
235,200,0.2,92,2579,2673,0
236,200,0.2,93,2577,2669,3
237,300,0.3,0,2577,2667,4
238,300,0.3,1,2580,2668,2
239,300,0.3,2,2579,2669,2
240,300,0.3,3,2580,2670,1
241,300,0.3,4,2576,2673,2
242,300,0.3,5,2579,2670,2
243,300,0.3,6,2579,2668,3
244,300,0.3,7,2578,2673,1
245,300,0.3,8,2575,2669,4
246,300,0.3,9,2577,2672,2
247,300,0.3,10,2573,2670,5
248,300,0.3,11,2574,2668,5
249,300,0.3,12,2571,2666,8
250,300,0.3,13,2571,2670,6
251,300,0.3,14,2570,2671,6
252,300,0.3,15,2573,2664,8
253,300,0.3,16,2578,2671,2
254,300,0.3,17,2573,2668,6
255,300,0.3,18,2572,2670,5
256,300,0.3,19,2570,2669,7
257,300,0.3,20,2574,2670,4
258,300,0.3,21,2573,2670,5
259,300,0.3,22,2570,2668,7
260,300,0.3,23,2565,2664,12
261,300,0.3,24,2572,2676,2
262,300,0.3,25,2570,2670,6
263,300,0.3,26,2568,2667,9
264,300,0.3,27,2569,2667,8
265,300,0.3,28,2562,2668,11
266,300,0.3,29,2567,2674,6
267,300,0.3,30,2569,2668,8
268,300,0.3,31,2564,2669,10
269,300,0.3,32,2575,2670,4
270,300,0.3,33,2574,2665,7
271,300,0.3,34,2566,2667,10
272,300,0.3,35,2568,2671,7
273,300,0.3,36,2564,2667,11
274,300,0.3,37,2571,2671,5
275,300,0.3,38,2568,2665,10
276,300,0.3,39,2567,2671,7
277,300,0.3,40,2569,2668,8
278,300,0.3,41,2584,2670,0
279,300,0.3,42,2568,2666,9
280,300,0.3,43,2568,2678,3
281,300,0.3,44,2568,2672,6
282,300,0.3,45,2566,2670,8
283,300,0.3,46,2569,2662,11
284,300,0.3,47,2576,2670,3
285,300,0.3,48,2569,2676,4
286,300,0.3,49,2564,2667,11
287,300,0.3,50,2567,2671,7
288,300,0.3,51,2570,2670,6
289,300,0.3,52,2565,2670,9
290,300,0.3,53,2567,2668,9
291,300,0.3,54,2568,2675,5
292,300,0.3,55,2565,2666,11
293,300,0.3,56,2576,2670,3
294,300,0.3,57,2566,2669,9
295,300,0.3,58,2569,2669,7
296,300,0.3,59,2571,2672,5
297,300,0.3,60,2569,2666,9
298,300,0.3,61,2563,2669,10
299,300,0.3,62,2569,2669,7
300,300,0.3,63,2574,2668,5
301,300,0.3,64,2569,2668,8
302,300,0.3,65,2566,2667,10
303,300,0.3,66,2563,2661,14
304,300,0.3,67,2567,2672,7
305,300,0.3,68,2570,2670,6
306,300,0.3,69,2568,2668,8
307,300,0.3,70,2567,2670,8
308,300,0.3,71,2567,2665,10
309,300,0.3,72,2576,2666,5
310,300,0.3,73,2569,2666,9
311,300,0.3,74,2560,2666,13
312,300,0.3,75,2572,2664,8
313,300,0.3,76,2563,2672,9
314,300,0.3,77,2567,2669,8
315,300,0.3,78,2565,2668,10
316,300,0.3,79,2567,2671,7
317,300,0.3,80,2576,2682,2
318,300,0.3,81,2578,2667,4
319,300,0.3,82,2580,2670,1
320,300,0.3,83,2579,2668,3
321,300,0.3,84,2579,2667,3
322,300,0.3,85,2578,2670,2
323,300,0.3,86,2583,2670,0
324,400,0.4,0,2569,2664,10
325,400,0.4,1,2575,2668,5
326,400,0.4,2,2575,2670,4
327,400,0.4,3,2579,2666,4
328,400,0.4,4,2575,2669,4
329,400,0.4,5,2580,2666,3
330,400,0.4,6,2575,2669,4
331,400,0.4,7,2574,2672,3
332,400,0.4,8,2564,2665,12
333,400,0.4,9,2551,2657,22
334,400,0.4,10,2555,2652,23
335,400,0.4,11,2551,2649,26
336,400,0.4,12,2548,2653,26
337,400,0.4,13,2555,2651,23
338,400,0.4,14,2546,2655,26
339,400,0.4,15,2534,2649,35
340,400,0.4,16,2536,2650,33
341,400,0.4,17,2537,2647,34
342,400,0.4,18,2535,2647,35
343,400,0.4,19,2538,2645,35
344,400,0.4,20,2530,2650,36
345,400,0.4,21,2539,2638,38
346,400,0.4,22,2539,2655,29
347,400,0.4,23,2541,2648,32
348,400,0.4,24,2538,2650,32
349,400,0.4,25,2535,2647,35
350,400,0.4,26,2545,2650,29
351,400,0.4,27,2537,2646,35
352,400,0.4,28,2536,2648,34
353,400,0.4,29,2530,2648,37
354,400,0.4,30,2538,2648,33
355,400,0.4,31,2536,2650,33
356,400,0.4,32,2533,2649,35
357,400,0.4,33,2539,2646,34
358,400,0.4,34,2535,2650,34
359,400,0.4,35,2535,2654,32
360,400,0.4,36,2538,2647,34
361,400,0.4,37,2536,2651,33
362,400,0.4,38,2535,2647,35
363,400,0.4,39,2539,2645,34
364,400,0.4,40,2536,2656,30
365,400,0.4,41,2538,2648,33
366,400,0.4,42,2532,2650,35
367,400,0.4,43,2538,2651,32
368,400,0.4,44,2537,2647,34
369,400,0.4,45,2535,2649,34
370,400,0.4,46,2540,2649,32
371,400,0.4,47,2545,2646,31
372,400,0.4,48,2541,2651,30
373,400,0.4,49,2540,2647,33
374,400,0.4,50,2540,2648,32
375,400,0.4,51,2534,2649,35
376,400,0.4,52,2536,2649,34
377,400,0.4,53,2551,2646,28
378,400,0.4,54,2536,2651,33
379,400,0.4,55,2535,2649,34
380,400,0.4,56,2537,2651,32
381,400,0.4,57,2531,2651,35
382,400,0.4,58,2530,2651,36
383,400,0.4,59,2537,2648,34
384,400,0.4,60,2532,2653,34
385,400,0.4,61,2531,2646,38
386,400,0.4,62,2535,2648,35
387,400,0.4,63,2540,2652,30
388,400,0.4,64,2538,2652,31
389,400,0.4,65,2534,2649,35
390,400,0.4,66,2537,2648,34
391,400,0.4,67,2538,2649,33
392,400,0.4,68,2534,2649,35
393,400,0.4,69,2525,2645,41
394,400,0.4,70,2536,2650,33
395,400,0.4,71,2537,2646,35
396,400,0.4,72,2539,2639,37
397,400,0.4,73,2539,2648,33
398,400,0.4,74,2536,2648,34
399,400,0.4,75,2537,2647,34
400,400,0.4,76,2533,2649,35
401,400,0.4,77,2532,2647,37
402,400,0.4,78,2537,2649,33
403,400,0.4,79,2539,2642,36
404,400,0.4,80,2537,2645,35
405,400,0.4,81,2536,2645,36
406,400,0.4,82,2536,2648,34
407,400,0.4,83,2543,2649,30
408,400,0.4,84,2540,2645,34
409,400,0.4,85,2544,2647,31
410,400,0.4,86,2575,2672,3
411,400,0.4,87,2581,2668,2
412,400,0.4,88,2582,2667,2
413,400,0.4,89,2577,2676,0
414,400,0.4,90,2580,2668,2
415,400,0.4,91,2582,2673,1
416,400,0.4,92,2580,2668,2
417,400,0.4,93,2579,2669,2
418,400,0.4,94,2577,2669,3
419,400,0.4,95,2578,2669,3
420,500,0.5,0,2585,2669,0
421,500,0.5,1,2577,2671,2
422,500,0.5,2,2581,2671,0
423,500,0.5,3,2576,2665,6
424,500,0.5,4,2578,2672,1
425,500,0.5,5,2578,2667,4
426,500,0.5,6,2579,2675,0
427,500,0.5,7,2580,2668,2
428,500,0.5,8,2573,2670,5
429,500,0.5,9,2566,2675,6
430,500,0.5,10,2568,2667,9
431,500,0.5,11,2552,2663,19
432,500,0.5,12,2554,2661,19
433,500,0.5,13,2552,2672,14
434,500,0.5,14,2554,2657,21
435,500,0.5,15,2551,2657,22
436,500,0.5,16,2553,2658,21
437,500,0.5,17,2550,2654,24
438,500,0.5,18,2554,2660,19
439,500,0.5,19,2535,2645,36
440,500,0.5,20,2534,2648,35
441,500,0.5,21,2538,2639,38
442,500,0.5,22,2529,2640,42
443,500,0.5,23,2534,2639,40
444,500,0.5,24,2532,2642,39
445,500,0.5,25,2533,2641,39
446,500,0.5,26,2531,2640,41
447,500,0.5,27,2531,2638,42
448,500,0.5,28,2534,2640,39
449,500,0.5,29,2534,2639,40
450,500,0.5,30,2530,2640,41
451,500,0.5,31,2534,2641,39
452,500,0.5,32,2533,2641,39
453,500,0.5,33,2548,2633,36
454,500,0.5,34,2530,2641,41
455,500,0.5,35,2533,2633,43
456,500,0.5,36,2533,2643,38
457,500,0.5,37,2534,2641,39
458,500,0.5,38,2534,2635,42
459,500,0.5,39,2524,2636,46
460,500,0.5,40,2533,2639,40
461,500,0.5,41,2532,2638,41
462,500,0.5,42,2534,2642,38
463,500,0.5,43,2537,2639,38
464,500,0.5,44,2525,2637,45
465,500,0.5,45,2532,2645,38
466,500,0.5,46,2532,2640,40
467,500,0.5,47,2524,2644,42
468,500,0.5,48,2532,2643,39
469,500,0.5,49,2532,2635,43
470,500,0.5,50,2534,2641,39
471,500,0.5,51,2533,2640,40
472,500,0.5,52,2522,2644,43
473,500,0.5,53,2533,2638,41
474,500,0.5,54,2534,2635,42
475,500,0.5,55,2533,2638,41
476,500,0.5,56,2531,2643,39
477,500,0.5,57,2532,2640,40
478,500,0.5,58,2527,2646,40
479,500,0.5,59,2531,2640,41
480,500,0.5,60,2532,2639,41
481,500,0.5,61,2530,2638,42
482,500,0.5,62,2530,2644,39
483,500,0.5,63,2529,2641,41
484,500,0.5,64,2531,2644,39
485,500,0.5,65,2530,2638,42
486,500,0.5,66,2529,2641,41
487,500,0.5,67,2523,2641,44
488,500,0.5,68,2526,2643,42
489,500,0.5,69,2535,2642,38
490,500,0.5,70,2530,2643,40
491,500,0.5,71,2532,2641,40
492,500,0.5,72,2543,2642,34
493,500,0.5,73,2529,2640,42
494,500,0.5,74,2532,2639,41
495,500,0.5,75,2527,2647,39
496,500,0.5,76,2529,2641,41
497,500,0.5,77,2525,2648,40
498,500,0.5,78,2526,2640,43
499,500,0.5,79,2526,2643,42
500,500,0.5,80,2528,2640,42
501,500,0.5,81,2531,2642,40
502,500,0.5,82,2530,2642,40
503,500,0.5,83,2542,2648,31
504,500,0.5,84,2576,2669,4
505,500,0.5,85,2597,2666,5
506,500,0.5,86,2589,2664,0
507,500,0.5,87,2584,2673,2
508,500,0.5,88,2584,2671,1
509,500,0.5,89,2586,2676,4
510,500,0.5,90,2582,2665,3
511,500,0.5,91,2582,2674,1
512,500,0.5,92,2582,2672,0
513,500,0.5,93,2585,2677,4
514,600,0.6,0,2588,2672,3
515,600,0.6,1,2585,2673,2
516,600,0.6,2,2585,2673,2
517,600,0.6,3,2584,2667,1
518,600,0.6,4,2586,2669,1
519,600,0.6,5,2587,2673,3
520,600,0.6,6,2581,2676,2
521,600,0.6,7,2579,2676,1
522,600,0.6,8,2582,2666,2
523,600,0.6,9,2557,2650,23
524,600,0.6,10,2543,2629,40
525,600,0.6,11,2542,2658,26
526,600,0.6,12,2539,2637,38
527,600,0.6,13,2525,2622,53
528,600,0.6,14,2527,2617,54
529,600,0.6,15,2525,2619,54
530,600,0.6,16,2524,2617,56
531,600,0.6,17,2535,2623,47
532,600,0.6,18,2526,2627,50
533,600,0.6,19,2526,2620,53
534,600,0.6,20,2527,2622,52
535,600,0.6,21,2526,2628,49
536,600,0.6,22,2523,2623,53
537,600,0.6,23,2526,2619,54
538,600,0.6,24,2524,2623,53
539,600,0.6,25,2522,2621,55
540,600,0.6,26,2524,2620,54
541,600,0.6,27,2526,2620,53
542,600,0.6,28,2522,2621,55
543,600,0.6,29,2523,2624,53
544,600,0.6,30,2525,2622,53
545,600,0.6,31,2520,2623,55
546,600,0.6,32,2515,2619,59
547,600,0.6,33,2522,2625,53
548,600,0.6,34,2524,2618,55
549,600,0.6,35,2521,2620,56
550,600,0.6,36,2531,2624,49
551,600,0.6,37,2522,2621,55
552,600,0.6,38,2539,2620,47
553,600,0.6,39,2523,2614,58
554,600,0.6,40,2524,2623,53
555,600,0.6,41,2526,2626,50
556,600,0.6,42,2525,2621,53
557,600,0.6,43,2524,2623,53
558,600,0.6,44,2524,2624,52
559,600,0.6,45,2524,2623,53
560,600,0.6,46,2522,2623,54
561,600,0.6,47,2526,2625,51
562,600,0.6,48,2523,2621,54
563,600,0.6,49,2523,2621,54
564,600,0.6,50,2519,2626,54
565,600,0.6,51,2523,2622,54
566,600,0.6,52,2524,2623,53
567,600,0.6,53,2526,2621,53
568,600,0.6,54,2521,2624,54
569,600,0.6,55,2524,2625,52
570,600,0.6,56,2532,2623,49
571,600,0.6,57,2523,2626,52
572,600,0.6,58,2524,2619,55
573,600,0.6,59,2536,2626,45
574,600,0.6,60,2522,2620,55
575,600,0.6,61,2524,2628,50
576,600,0.6,62,2523,2622,54
577,600,0.6,63,2521,2626,53
578,600,0.6,64,2522,2622,54
579,600,0.6,65,2524,2624,52
580,600,0.6,66,2520,2623,55
581,600,0.6,67,2523,2627,51
582,600,0.6,68,2522,2623,54
583,600,0.6,69,2525,2624,52
584,600,0.6,70,2523,2617,56
585,600,0.6,71,2522,2620,55
586,600,0.6,72,2520,2620,56
587,600,0.6,73,2519,2623,55
588,600,0.6,74,2519,2628,53
589,600,0.6,75,2521,2624,54
590,600,0.6,76,2521,2627,52
591,600,0.6,77,2520,2625,54
592,600,0.6,78,2525,2624,52
593,600,0.6,79,2523,2626,52
594,600,0.6,80,2521,2624,54
595,600,0.6,81,2520,2628,52
596,600,0.6,82,2521,2623,54
597,600,0.6,83,2516,2624,56
598,600,0.6,84,2529,2626,49
599,600,0.6,85,2518,2627,54
600,600,0.6,86,2577,2666,5
601,600,0.6,87,2587,2667,0
602,600,0.6,88,2579,2671,1
603,600,0.6,89,2576,2668,4
604,600,0.6,90,2579,2667,3
605,600,0.6,91,2579,2669,2
606,600,0.6,92,2577,2669,3
607,700,0.7,0,2576,2668,4
608,700,0.7,1,2581,2670,1
609,700,0.7,2,2578,2666,4
610,700,0.7,3,2580,2669,2
611,700,0.7,4,2584,2668,0
612,700,0.7,5,2580,2666,3
613,700,0.7,6,2580,2673,0
614,700,0.7,7,2570,2673,5
615,700,0.7,8,2534,2646,36
616,700,0.7,9,2516,2637,50
617,700,0.7,10,2502,2622,64
618,700,0.7,11,2503,2621,64
619,700,0.7,12,2502,2621,65
620,700,0.7,13,2502,2619,66
621,700,0.7,14,2495,2631,63
622,700,0.7,15,2503,2621,64
623,700,0.7,16,2499,2621,66
624,700,0.7,17,2504,2622,63
625,700,0.7,18,2498,2622,66
626,700,0.7,19,2498,2621,67
627,700,0.7,20,2498,2620,67
628,700,0.7,21,2501,2620,66
629,700,0.7,22,2498,2622,66
630,700,0.7,23,2500,2618,67
631,700,0.7,24,2495,2624,67
632,700,0.7,25,2498,2617,69
633,700,0.7,26,2498,2625,65
634,700,0.7,27,2496,2627,65
635,700,0.7,28,2495,2625,66
636,700,0.7,29,2501,2617,67
637,700,0.7,30,2495,2622,68
638,700,0.7,31,2490,2619,72
639,700,0.7,32,2495,2620,69
640,700,0.7,33,2500,2619,67
641,700,0.7,34,2500,2621,66
642,700,0.7,35,2498,2617,69
643,700,0.7,36,2498,2617,69
644,700,0.7,37,2500,2618,67
645,700,0.7,38,2498,2620,67
646,700,0.7,39,2500,2620,66
647,700,0.7,40,2499,2621,66
648,700,0.7,41,2495,2621,68
649,700,0.7,42,2494,2617,71
650,700,0.7,43,2499,2623,65
651,700,0.7,44,2497,2622,67
652,700,0.7,45,2494,2620,69
653,700,0.7,46,2497,2611,72
654,700,0.7,47,2497,2620,68
655,700,0.7,48,2501,2619,66
656,700,0.7,49,2501,2624,64
657,700,0.7,50,2497,2618,69
658,700,0.7,51,2498,2620,67
659,700,0.7,52,2496,2623,67
660,700,0.7,53,2494,2619,70
661,700,0.7,54,2499,2618,68
662,700,0.7,55,2499,2618,68
663,700,0.7,56,2496,2622,67
664,700,0.7,57,2496,2619,69
665,700,0.7,58,2499,2619,67
666,700,0.7,59,2499,2618,68
667,700,0.7,60,2497,2621,67
668,700,0.7,61,2498,2618,68
669,700,0.7,62,2494,2616,71
670,700,0.7,63,2501,2616,68
671,700,0.7,64,2503,2620,65
672,700,0.7,65,2493,2615,72
673,700,0.7,66,2498,2619,68
674,700,0.7,67,2501,2620,66
675,700,0.7,68,2494,2618,70
676,700,0.7,69,2502,2623,64
677,700,0.7,70,2500,2619,67
678,700,0.7,71,2499,2620,67
679,700,0.7,72,2495,2621,68
680,700,0.7,73,2495,2618,70
681,700,0.7,74,2498,2620,67
682,700,0.7,75,2498,2618,68
683,700,0.7,76,2498,2617,69
684,700,0.7,77,2503,2620,65
685,700,0.7,78,2496,2618,69
686,700,0.7,79,2497,2623,66
687,700,0.7,80,2495,2622,68
688,700,0.7,81,2509,2617,63
689,700,0.7,82,2503,2618,66
690,700,0.7,83,2502,2618,66
691,700,0.7,84,2497,2620,68
692,700,0.7,85,2493,2614,73
693,700,0.7,86,2489,2620,72
694,700,0.7,87,2496,2619,69
695,700,0.7,88,2498,2619,68
696,700,0.7,89,2500,2620,66
697,700,0.7,90,2502,2617,67
698,700,0.7,91,2500,2617,68
699,700,0.7,92,2499,2617,68
700,700,0.7,93,2503,2623,63
701,700,0.7,94,2498,2618,68
702,700,0.7,95,2496,2620,68
703,700,0.7,96,2495,2621,68
704,700,0.7,97,2499,2618,68
705,700,0.7,98,2496,2619,69
706,700,0.7,99,2539,2631,41
707,700,0.7,100,2582,2670,0
708,700,0.7,101,2580,2670,1
709,700,0.7,102,2579,2664,5
710,700,0.7,103,2588,2673,4
711,700,0.7,104,2583,2670,0
712,700,0.7,105,2579,2671,1
713,700,0.7,106,2577,2672,2
714,800,0.8,0,2579,2671,1
715,800,0.8,1,2577,2669,3
716,800,0.8,2,2574,2668,5
717,800,0.8,3,2579,2670,2
718,800,0.8,4,2580,2667,3
719,800,0.8,5,2579,2669,2
720,800,0.8,6,2581,2658,7
721,800,0.8,7,2569,2671,6
722,800,0.8,8,2522,2640,45
723,800,0.8,9,2495,2628,65
724,800,0.8,10,2475,2603,87
725,800,0.8,11,2475,2608,85
726,800,0.8,12,2473,2608,86
727,800,0.8,13,2471,2610,86
728,800,0.8,14,2470,2607,88
729,800,0.8,15,2472,2610,85
730,800,0.8,16,2474,2605,87
731,800,0.8,17,2457,2595,100
732,800,0.8,18,2457,2593,101
733,800,0.8,19,2457,2595,100
734,800,0.8,20,2455,2597,100
735,800,0.8,21,2455,2597,100
736,800,0.8,22,2455,2592,103
737,800,0.8,23,2455,2596,101
738,800,0.8,24,2459,2590,102
739,800,0.8,25,2471,2598,92
740,800,0.8,26,2457,2591,102
741,800,0.8,27,2449,2595,104
742,800,0.8,28,2456,2590,103
743,800,0.8,29,2457,2590,103
744,800,0.8,30,2457,2607,94
745,800,0.8,31,2456,2598,99
746,800,0.8,32,2470,2591,96
747,800,0.8,33,2454,2596,101
748,800,0.8,34,2457,2591,102
749,800,0.8,35,2456,2594,101
750,800,0.8,36,2458,2592,101
751,800,0.8,37,2453,2595,102
752,800,0.8,38,2457,2592,102
753,800,0.8,39,2457,2585,105
754,800,0.8,40,2456,2593,102
755,800,0.8,41,2457,2597,99
756,800,0.8,42,2458,2590,102
757,800,0.8,43,2456,2594,101
758,800,0.8,44,2459,2591,101
759,800,0.8,45,2449,2593,105
760,800,0.8,46,2459,2593,100
761,800,0.8,47,2457,2591,102
762,800,0.8,48,2461,2592,100
763,800,0.8,49,2460,2592,100
764,800,0.8,50,2459,2612,91
765,800,0.8,51,2465,2592,98
766,800,0.8,52,2458,2586,104
767,800,0.8,53,2462,2593,99
768,800,0.8,54,2458,2590,102
769,800,0.8,55,2462,2591,100
770,800,0.8,56,2466,2598,94
771,800,0.8,57,2451,2593,104
772,800,0.8,58,2462,2598,96
773,800,0.8,59,2459,2581,106
